"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Tnxb2",5.37307171556685e-10,0.437835495529235,0.449,0.342,9.4313527823345e-06,"5","Tnxb"
"F3",3.80829623707489e-27,0.436826694102502,0.242,0.094,6.68470238493756e-23,"5","F3"
"Ctsh",1.67180200981359e-54,0.430159054397146,0.24,0.056,2.9345140678258e-50,"5","Ctsh"
"Thy1",1.37742527219015e-33,0.429633116389253,0.212,0.064,2.41779458027537e-29,"5","Thy1"
"Cd59a1",2.55223429477704e-21,0.428896399200713,0.481,0.296,4.47993685762214e-17,"5","Cd59a"
"Hspb11",1.1766115433661e-06,0.416921114042194,0.637,0.57,0.0206530624207052,"5","Hspb1"
"Galnt15",5.78060142564537e-60,0.416011816958703,0.251,0.055,1.01466896824353e-55,"5","Galnt15"
"Akap12",7.5077504131927e-56,0.415703924680366,0.293,0.078,1.31783543002771e-51,"5","Akap12"
"Fam180a1",1.35276919929596e-20,0.415282281439324,0.729,0.532,2.3745157755242e-16,"5","Fam180a"
"Abca8a1",8.78571921566065e-07,0.413475247527246,0.725,0.675,0.0154215729392491,"5","Abca8a"
"Fzd2",9.65336863423958e-35,0.411285049557888,0.361,0.153,1.69445579636807e-30,"5","Fzd2"
"Stc21",6.46136700279805e-25,0.406173791384428,0.407,0.214,1.13416375000114e-20,"5","Stc2"
"Acvrl11",4.91168604354376e-30,0.405913489807311,0.453,0.235,8.62148251223236e-26,"5","Acvrl1"
"Fmo1",5.55988057613987e-75,0.40575941567955,0.267,0.05,9.75925837529832e-71,"5","Fmo1"
"Ftl11",1.62970575726704e-36,0.403801789721327,0.998,0.997,2.86062251573083e-32,"5","Ftl1"
"Gpm6b1",5.82969430479487e-21,0.397806925874929,0.798,0.626,1.02328624132064e-16,"5","Gpm6b"
"C1s1",1.09950853611293e-20,0.397572309726206,0.912,0.879,1.92996733343903e-16,"5","C1s1"
"Thbs21",1.03326680698446e-15,0.396601621182977,0.727,0.604,1.81369322629983e-11,"5","Thbs2"
"Fth11",1.97713499084016e-32,0.395452779316336,1,0.998,3.47046504942173e-28,"5","Fth1"
"Cyp1b1",4.92161737708303e-23,0.392055136050813,0.361,0.184,8.63891498199384e-19,"5","Cyp1b1"
"Pamr11",2.13792204317297e-15,0.389732816224815,0.629,0.481,3.75269456238151e-11,"5","Pamr1"
"Ldhb",1.11569349212794e-32,0.389354696034494,0.413,0.193,1.95837678673218e-28,"5","Ldhb"
"Bmp4",2.80971824969948e-18,0.38154001879688,0.525,0.352,4.93189844369749e-14,"5","Bmp4"
"Ccn51",0.000983980163488113,0.377944557609339,0.144,0.101,1,"5","Ccn5"
"Ctsk1",7.35490375399521e-20,0.377631855430292,0.88,0.795,1.29100625593878e-15,"5","Ctsk"
"Atp1a2",1.97104647199591e-18,0.376941080600869,0.547,0.365,3.45977787229442e-14,"5","Atp1a2"
"Cd200",7.20877736523334e-52,0.375895114612495,0.228,0.052,1.26535669091941e-47,"5","Cd200"
