"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Unc5b",1.15219858697494e-77,0.742539661230988,0.849,0.481,2.09319917295737e-73
"Tgfb3",4.88588631474682e-103,0.742013188336796,0.654,0.195,8.87618966800055e-99
"Abracl",1.82443792452309e-78,0.739966950120946,0.849,0.473,3.3144563774811e-74
"Gpr153",1.32237447805387e-111,0.736081799194896,0.714,0.234,2.40235771428046e-107
"Serp1",1.30155056218815e-81,0.733880817741019,0.89,0.634,2.36452690632721e-77
"Maged1",4.52026481043761e-91,0.733063419690607,0.944,0.724,8.21196508112201e-87
"Actn1",2.58804494355383e-86,0.72956614979951,0.937,0.687,4.70170124895424e-82
"Selenom",5.26209191774866e-132,0.723448659105395,0.995,0.974,9.55964238697398e-128
"Enc1",8.34074633193206e-94,0.72038159051222,0.479,0.102,1.5152633861221e-89
"Sdc1",1.12880334860304e-137,0.717357343089521,0.521,0.065,2.05069704340714e-133
"Myh10",6.80108018149536e-77,0.712860023193414,0.762,0.366,1.23555223657226e-72
"Rps12",2.2332463894437e-155,0.711468409272293,0.999,0.994,4.05713871570237e-151
"Serf2",1.8318573648223e-198,0.710582614420881,0.999,0.999,3.32793527467268e-194
"Ppic",7.72945477283232e-103,0.706609802445227,0.987,0.873,1.40421004858045e-98
"Rpl22l1",6.58576467216718e-146,0.702470009525611,0.996,0.984,1.19643586799261e-141
"Swi5",7.66109457685441e-96,0.697720296671926,0.958,0.783,1.39179105177714e-91
"Sar1a",1.1825882423642e-89,0.69673394417201,0.938,0.686,2.14840805990305e-85
"Rpl27a",7.10033486548732e-207,0.690733220763573,0.999,0.999,1.28991783501308e-202
"Tmem119",3.2616690660552e-88,0.687238277681269,0.707,0.271,5.92547419230248e-84
"Tmem167",1.42418181552619e-97,0.687024453730467,0.958,0.816,2.58731110426642e-93
"Dad1",2.52625605361678e-105,0.684850175518537,0.976,0.934,4.5894493726056e-101
"Slc38a10",8.75977928456923e-82,0.683393880176862,0.823,0.433,1.59138910262769e-77
"Crispld2",1.23108027848431e-99,0.680793211923957,0.474,0.088,2.23650354192245e-95
"Gas7",8.2420922582888e-154,0.680706955825499,0.451,0.024,1.49734090056333e-149
"Aldh1a2",2.93149445921425e-126,0.680605500877744,0.381,0.019,5.32564598405452e-122
