"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Tmem189",7.45284286584348e-05,0.356819471713255,0.318,0.189,1,"6","Tmem189"
"Fam20c",7.78012285909967e-05,0.370271365398357,0.264,0.146,1,"6","Fam20c"
"Arhgdia",7.85527875906722e-05,0.442983281052923,0.682,0.676,1,"6","Arhgdia"
"Ppp1ca",7.87516741082336e-05,0.447340612334141,0.76,0.732,1,"6","Ppp1ca"
"Sdcbp",7.99182066650917e-05,0.84853663940915,0.667,0.692,1,"6","Sdcbp"
"Bin1",8.25035218094301e-05,0.312879557497739,0.287,0.163,1,"6","Bin1"
"Irf81",8.28163588749446e-05,1.34655533653717,0.527,0.418,1,"6","Irf8"
"Rpl36",8.32755040910748e-05,0.283859562590215,0.969,0.996,1,"6","Rpl36"
"Rps25",8.33038633449082e-05,0.361834457522801,0.938,0.968,1,"6","Rps25"
"Rack1",8.4473638947552e-05,0.270986509188482,0.907,0.972,1,"6","Rack1"
"Gng5",9.09587897779233e-05,0.254456041941656,0.938,0.977,1,"6","Gng5"
"Rap1b",9.5228497583495e-05,0.589038878017872,0.659,0.617,1,"6","Rap1b"
"Mkrn1",9.68372311887392e-05,0.488523321967124,0.364,0.243,1,"6","Mkrn1"
"Aftph",9.8523208607984e-05,0.426525507049416,0.287,0.162,1,"6","Aftph"
"Gsto1",0.000106163928184473,0.452323201958421,0.302,0.187,1,"6","Gsto1"
"Atp6v1f",0.000111640516569899,0.436897002024525,0.76,0.808,1,"6","Atp6v1f"
"Metrnl",0.000115102475092217,0.676038759686131,0.558,0.431,1,"6","Metrnl"
"Vps26a",0.000118356455884198,0.405226532322627,0.318,0.186,1,"6","Vps26a"
"Sub1",0.000124024304833587,0.873176497559651,0.721,0.767,1,"6","Sub1"
"Orai1",0.000132670366165217,0.480382492839512,0.209,0.11,1,"6","Orai1"
"Rnf130",0.000135453351994002,0.3604357553387,0.543,0.4,1,"6","Rnf130"
"Pgk1",0.00014469658021812,0.56752377086709,0.488,0.373,1,"6","Pgk1"
"Ppp2r5a",0.000146033199540216,0.477266741108386,0.256,0.148,1,"6","Ppp2r5a"
"Rbm3",0.000153573219167418,0.405678990589145,0.884,0.906,1,"6","Rbm3"
"Tmem104",0.000157780287449432,0.270685678372832,0.109,0.042,1,"6","Tmem104"
"Pafah1b3",0.000157875614660425,0.530741910955647,0.186,0.094,1,"6","Pafah1b3"
"Hnrnpf1",0.000163869618653849,0.511644036945316,0.736,0.697,1,"6","Hnrnpf"
"Hat1",0.000168812315023976,0.346565112227731,0.217,0.116,1,"6","Hat1"
"Dock10",0.000184242566232206,0.504417284037069,0.318,0.195,1,"6","Dock10"
"Stard3",0.000191943164796295,0.258005426340252,0.202,0.103,1,"6","Stard3"
"Snx10",0.000197004805590799,0.386808228201957,0.217,0.117,1,"6","Snx10"
"Rnpep",0.000205468745319923,0.457029728488633,0.295,0.177,1,"6","Rnpep"
"Znrf2",0.000207419037972836,0.39065010164071,0.271,0.159,1,"6","Znrf2"
"Bloc1s2",0.000208325717699131,0.605635698211412,0.256,0.157,1,"6","Bloc1s2"
"Erp29",0.00021258629733328,0.549934998704665,0.705,0.73,1,"6","Erp29"
"Blvrb",0.000216109718954626,1.05789310305663,0.535,0.499,1,"6","Blvrb"
"Blvra",0.000217547710498517,0.371753007328587,0.24,0.139,1,"6","Blvra"
"Rufy3",0.000234645372583789,0.259434606858452,0.186,0.091,1,"6","Rufy3"
"Prdx1",0.000235907969957412,0.856192363433903,0.853,0.956,1,"6","Prdx1"
"Capza1",0.000236385393478112,0.362319875131746,0.481,0.346,1,"6","Capza1"
"BC028528",0.000273160235446604,0.278105421594082,0.225,0.124,1,"6","BC028528"
"Pip4k2a",0.000300222728209789,0.517443980933594,0.426,0.307,1,"6","Pip4k2a"
"Atp6v0a1",0.000302288796218252,0.377906050265582,0.31,0.192,1,"6","Atp6v0a1"
"Etv3",0.000314673024115137,0.381940188035446,0.256,0.148,1,"6","Etv3"
"Trib1",0.000335365800943651,0.294268388388476,0.287,0.175,1,"6","Trib1"
"Psmb91",0.000360004141839737,0.829181623481688,0.488,0.424,1,"6","Psmb9"
"Wdr1",0.000365349102349654,0.670952150723846,0.457,0.345,1,"6","Wdr1"
"Rcc2",0.00036662296582354,0.272202578497157,0.248,0.142,1,"6","Rcc2"
"mt-Co31",0.00042647125050604,0.255471528381626,0.961,0.997,1,"6","mt-Co3"
"Hacd4",0.000460330765006902,0.316254180177028,0.217,0.124,1,"6","Hacd4"
"Rab10os",0.000481561606028251,0.395915006393317,0.209,0.115,1,"6","Rab10os"
"Hexa1",0.000484568174739197,0.59362550018575,0.659,0.693,1,"6","Hexa"
"Cttnbp2nl",0.000494534551899742,0.359913325708235,0.24,0.142,1,"6","Cttnbp2nl"
"Tkt",0.000507999937209012,0.650028869127381,0.535,0.437,1,"6","Tkt"
"Slc30a1",0.000508263482981057,0.264167443947707,0.132,0.06,1,"6","Slc30a1"
"Gch11",0.000546979308776324,0.280410537966698,0.202,0.108,1,"6","Gch1"
"Scarb1",0.000560690674353057,0.401051913869363,0.217,0.129,1,"6","Scarb1"
"Dazap2",0.000562077498513607,0.398468004083384,0.558,0.496,1,"6","Dazap2"
"Atp6v1d",0.000594551405733358,0.379940121144203,0.434,0.306,1,"6","Atp6v1d"
"Ptpn11",0.000606285532405589,0.52227888119146,0.504,0.424,1,"6","Ptpn1"
"Hsd17b11",0.000695988592031953,0.522468411892159,0.225,0.131,1,"6","Hsd17b11"
"Idh1",0.000753261116272802,0.421132348058226,0.333,0.232,1,"6","Idh1"
"Lpcat1",0.000806266207903459,0.289700865275852,0.186,0.1,1,"6","Lpcat1"
"Eed",0.00091498539592566,0.374591876951043,0.209,0.12,1,"6","Eed"
"H2afj",0.000924957672485587,0.485810459902827,0.752,0.771,1,"6","H2afj"
"Rsrp1",0.000928483482503879,0.346342673484538,0.899,0.934,1,"6","Rsrp1"
"Rnf149",0.000966774266020064,0.251924197991823,0.171,0.088,1,"6","Rnf149"
"Plekhf2",0.00100941566448098,0.49062961798135,0.186,0.104,1,"6","Plekhf2"
"Osbpl8",0.00101177817349486,0.281826270200929,0.287,0.178,1,"6","Osbpl8"
"Pts",0.00107904671540722,0.385268110146301,0.295,0.191,1,"6","Pts"
"Gnpda1",0.00108668779275851,0.377199902476182,0.194,0.108,1,"6","Gnpda1"
"Brk1",0.00111570533910694,0.403268324721486,0.674,0.686,1,"6","Brk1"
"Aup1",0.00113972421784189,0.29926067460905,0.364,0.251,1,"6","Aup1"
"Eno1",0.00114796885684644,0.461073630663295,0.395,0.29,1,"6","Eno1"
"Rpsa",0.00114912615955211,0.334741159430177,0.992,0.998,1,"6","Rpsa"
"Eef1b2",0.00115434724339465,0.372939943614927,0.953,0.975,1,"6","Eef1b2"
"Slc6a61",0.00115463815261604,0.501647367474763,0.457,0.371,1,"6","Slc6a6"
"Slc35c2",0.00118359223652282,0.299976866724503,0.209,0.121,1,"6","Slc35c2"
"Mien1",0.0011905321780981,0.485354224056568,0.488,0.4,1,"6","Mien1"
"Ube2q1",0.0012172210158603,0.383715810040437,0.38,0.268,1,"6","Ube2q1"
"Fdps",0.00125761062227173,0.380075922349031,0.171,0.093,1,"6","Fdps"
"Ccrl21",0.00127804892354842,0.871224765805175,0.264,0.172,1,"6","Ccrl2"
"Kif21b",0.0012902932844955,0.325079107643717,0.124,0.059,1,"6","Kif21b"
"Arl6ip1",0.00135240459885564,0.409034933592409,0.667,0.611,1,"6","Arl6ip1"
"Slc7a7",0.00138994760546973,0.273900694527981,0.132,0.063,1,"6","Slc7a7"
"Dgkd",0.00139734522669955,0.304537447304732,0.186,0.105,1,"6","Dgkd"
"Ccdc12",0.00142199024207764,0.621213494588803,0.651,0.623,1,"6","Ccdc12"
"Dleu2",0.00171352530329095,0.434832846048799,0.279,0.179,1,"6","Dleu2"
"Emc6",0.00172621517179952,0.549356501690362,0.426,0.329,1,"6","Emc6"
"Myo9b",0.00172994044694721,0.257171630131152,0.248,0.15,1,"6","Myo9b"
"Ubald1",0.00173486809158277,0.305048242938126,0.209,0.12,1,"6","Ubald1"
"Pak2",0.00177891778149043,0.546905589364211,0.574,0.478,1,"6","Pak2"
"Parp1",0.0018033879246478,0.337743794358639,0.225,0.139,1,"6","Parp1"
"H3f3b",0.00182362635369391,0.372206070534369,0.961,0.991,1,"6","H3f3b"
"Hprt",0.00182818990353563,0.321492649283477,0.411,0.299,1,"6","Hprt"
"Eri1",0.0018308579681145,0.256281623288149,0.186,0.101,1,"6","Eri1"
"Tma7",0.00183758950319238,0.353011547435593,0.798,0.836,1,"6","Tma7"
"Adam15",0.00185316771072521,0.257225611430119,0.271,0.17,1,"6","Adam15"
"Klf6",0.00186715612268351,0.369895748861765,0.736,0.724,1,"6","Klf6"
"Eif3k",0.00193650430520408,0.365819129138264,0.791,0.831,1,"6","Eif3k"
"Rplp0",0.00199091424129095,0.323608382859188,1,0.995,1,"6","Rplp0"
"Necap2",0.002083914274195,0.328095734918866,0.388,0.273,1,"6","Necap2"
"Tsc22d31",0.00212482390263841,0.40743211942456,0.519,0.426,1,"6","Tsc22d3"
"Fyn",0.00212665097811663,0.51989427299815,0.217,0.132,1,"6","Fyn"
"Hmgb2",0.0022472010712354,0.924117625983682,0.558,0.532,1,"6","Hmgb2"
"Naaa1",0.0022487962404635,0.550339995201544,0.163,0.093,1,"6","Naaa"
"Rtf2",0.00229163730193113,0.495957565843048,0.388,0.289,1,"6","Rtf2"
"Atp6v1e1",0.00230124326025782,0.630688557586179,0.527,0.485,1,"6","Atp6v1e1"
"Ntpcr",0.00232408681505993,0.377892859771353,0.202,0.121,1,"6","Ntpcr"
"Pold4",0.00237727036541235,0.458850513268748,0.519,0.458,1,"6","Pold4"
"H3f3a",0.00240975133729886,0.48230614626623,0.953,0.984,1,"6","H3f3a"
"Mthfs",0.00250516230983784,0.422643214867624,0.209,0.128,1,"6","Mthfs"
"Rps271",0.0025437405516604,0.417502095951245,0.984,0.998,1,"6","Rps27"
"Tctex1d2",0.00256048130103959,0.406680177482136,0.256,0.166,1,"6","Tctex1d2"
"Map3k1",0.00264090774994687,0.355669678308229,0.24,0.155,1,"6","Map3k1"
"Lamtor4",0.00266734545171277,0.441398847251825,0.667,0.657,1,"6","Lamtor4"
"Slc25a51",0.00273682264623919,0.42244645859759,0.736,0.756,1,"6","Slc25a5"
"Cenpa",0.00275674075531445,0.250324146263146,0.109,0.051,1,"6","Cenpa"
"Rnf166",0.00283605590539361,0.591978781445519,0.271,0.172,1,"6","Rnf166"
"Scand1",0.00288282320320391,0.505684145445531,0.791,0.816,1,"6","Scand1"
"Arf3",0.0028922525414516,0.313859534442411,0.349,0.25,1,"6","Arf3"
"Pomp",0.00300751939571158,0.433893399998355,0.744,0.805,1,"6","Pomp"
"Rap1a",0.00303933737044704,0.410006882936472,0.62,0.59,1,"6","Rap1a"
"AY036118",0.00304220996314081,0.681484166162009,0.907,0.948,1,"6","AY036118"
"Atp5g2",0.00307259230310233,0.306414241479952,0.884,0.947,1,"6","Atp5g2"
"Cerk",0.00329829524604516,0.294640194677829,0.279,0.184,1,"6","Cerk"
"1810026B05Rik",0.00341752024429109,0.682351832805126,0.442,0.356,1,"6","1810026B05Rik"
