"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Ptpn1",1.1975188503321e-35,0.916438902428754,0.329,0.112,1.83747292394958e-31,"Kupffer cell","Ptpn1"
"Plxnb2",1.35760975906139e-35,0.933667323615508,0.313,0.103,2.08311641430379e-31,"Kupffer cell","Plxnb2"
"Vamp82",1.64866497781263e-35,0.922358047595413,0.666,0.403,2.5297115419557e-31,"Kupffer cell","Vamp8"
"Pik3cd4",1.82425838223676e-35,0.75730886192327,0.23,0.059,2.79914206170409e-31,"Kupffer cell","Pik3cd"
"Tpd521",2.08833047673459e-35,0.90578132337515,0.339,0.117,3.20433428350155e-31,"Kupffer cell","Tpd52"
"Mnda1",2.33284697816121e-35,0.778852833955546,0.162,0.031,3.57952040329056e-31,"Kupffer cell","Mnda"
"Fam105a3",4.18287513299059e-35,0.790520803234257,0.214,0.053,6.41820360406076e-31,"Kupffer cell","Fam105a"
"Gbp8",6.32359349733721e-35,0.56149505614332,0.104,0.013,9.70292186231421e-31,"Kupffer cell","Gbp8"
"Mcl11",8.20120470462573e-35,0.985223416036311,0.535,0.271,1.25839284987777e-30,"Kupffer cell","Mcl1"
"Cd164",1.21240061306733e-34,0.937156427191391,0.559,0.279,1.86030750069051e-30,"Kupffer cell","Cd164"
"Rbm473",2.06292717190709e-34,0.851286311492275,0.191,0.044,3.16535545257425e-30,"Kupffer cell","Rbm47"
"Mapkapk21",4.91342578317704e-34,0.924837327672984,0.319,0.111,7.53916052170685e-30,"Kupffer cell","Mapkapk2"
"Abhd11os1",5.88089573260536e-34,0.646590906603585,0.136,0.023,9.02364641210966e-30,"Kupffer cell","Abhd11os"
"Actg13",8.53294420001131e-34,0.679489884846339,0.914,0.772,1.30929495804974e-29,"Kupffer cell","Actg1"
"Arpc43",1.45464535111973e-33,0.961463056346164,0.548,0.29,2.23200782675811e-29,"Kupffer cell","Arpc4"
"Stk101",1.7886320133687e-33,0.685727703597024,0.151,0.028,2.74447696131293e-29,"Kupffer cell","Stk10"
"Ctsz3",3.78633944868127e-33,0.889479195706292,0.572,0.304,5.80975925005654e-29,"Kupffer cell","Ctsz"
"Wdfy3",4.31760393919006e-33,0.803790113346393,0.29,0.092,6.62493148429323e-29,"Kupffer cell","Wdfy3"
"Epsti13",5.00585591915858e-33,0.846592537081636,0.277,0.086,7.68098532235692e-29,"Kupffer cell","Epsti1"
"Txn12",1.09276116501793e-32,0.903683397958244,0.715,0.471,1.67673273160351e-28,"Kupffer cell","Txn1"
"Tgif11",1.27707624646547e-32,0.67508187303304,0.162,0.033,1.95954579257662e-28,"Kupffer cell","Tgif1"
"Fam49b4",1.31039755607066e-32,0.937516388208212,0.326,0.117,2.01067401003482e-28,"Kupffer cell","Fam49b"
"Fgd4",3.28344003815769e-32,0.634336166188201,0.162,0.033,5.03811039454916e-28,"Kupffer cell","Fgd4"
"Apbb1ip4",4.00849509427933e-32,0.805706595956174,0.245,0.071,6.15063487266221e-28,"Kupffer cell","Apbb1ip"
"Slc6a61",4.82720096506214e-32,0.886683566418702,0.311,0.109,7.40685716079135e-28,"Kupffer cell","Slc6a6"
"Plekho2",6.81901141850587e-32,0.836150234332171,0.326,0.116,1.04630911205554e-27,"Kupffer cell","Plekho2"
"Hsp90b12",7.0397312315305e-32,0.929074237250184,0.71,0.471,1.08017636016604e-27,"Kupffer cell","Hsp90b1"
"Helz2",7.61317679132552e-32,0.71116171638931,0.198,0.049,1.16816584686099e-27,"Kupffer cell","Helz2"
"Akap134",1.80323738597988e-31,0.871130401152081,0.366,0.144,2.76688744504752e-27,"Kupffer cell","Akap13"
"Ttyh21",4.04544087722468e-31,0.627730293760983,0.149,0.03,6.20732448201355e-27,"Kupffer cell","Ttyh2"
"Acvrl11",5.67937676405913e-31,0.722525119923553,0.214,0.057,8.71443570677232e-27,"Kupffer cell","Acvrl1"
"M6pr1",6.69968475550099e-31,0.929473265731753,0.415,0.184,1.02799962888407e-26,"Kupffer cell","M6pr"
"9930111J21Rik21",1.23937274843779e-30,0.846761508840814,0.211,0.058,1.90169354520295e-26,"Kupffer cell","9930111J21Rik2"
"Blvrb",1.59673439225778e-30,0.908638138002428,0.509,0.26,2.45002925148033e-26,"Kupffer cell","Blvrb"
"Adam17",5.76107322305062e-30,0.755371745013053,0.219,0.062,8.83979075344887e-26,"Kupffer cell","Adam17"
"Stk17b3",1.01777712410818e-29,0.866762758593682,0.287,0.098,1.56167721923159e-25,"Kupffer cell","Stk17b"
"Grb23",1.38638572285655e-29,0.884597342770111,0.444,0.207,2.12727025315109e-25,"Kupffer cell","Grb2"
"Btk2",3.02918535482907e-29,0.574452889842548,0.115,0.019,4.64798200844972e-25,"Kupffer cell","Btk"
"Tmem65",6.29641276973686e-29,0.830843300280328,0.23,0.069,9.66121575388424e-25,"Kupffer cell","Tmem65"
"Mapre2",1.16304054452565e-28,0.833096187917299,0.311,0.113,1.78456941152016e-24,"Kupffer cell","Mapre2"
"Fgr1",1.33854870851138e-28,0.555602592489072,0.133,0.026,2.05386913833985e-24,"Kupffer cell","Fgr"
"Gm219751",2.30845035916664e-28,0.550161842931907,0.104,0.016,3.54208623110529e-24,"Kupffer cell","Gm21975"
"Rac23",2.76991252522266e-28,0.43886030313659,0.512,0.224,4.25015377870165e-24,"Kupffer cell","Rac2"
"Myo9b1",3.82700810418289e-28,0.794289931669519,0.196,0.054,5.87216123505822e-24,"Kupffer cell","Myo9b"
"Vps37b2",4.22586736821656e-28,0.76464314160968,0.248,0.079,6.48417088979149e-24,"Kupffer cell","Vps37b"
"Slc48a1",4.45187282810592e-28,0.922646180318111,0.321,0.126,6.83095366744572e-24,"Kupffer cell","Slc48a1"
"Cox5a2",5.09693149308253e-28,0.818750165583902,0.648,0.409,7.82073168298583e-24,"Kupffer cell","Cox5a"
"Aldh3b1",7.12631654283065e-28,0.571373138565836,0.133,0.026,1.09346201033194e-23,"Kupffer cell","Aldh3b1"
"Ikzf14",8.01419479943611e-28,0.691102232539115,0.235,0.072,1.22969805002548e-23,"Kupffer cell","Ikzf1"
"Zyx4",1.51686498519277e-27,0.824395331642851,0.426,0.197,2.32747763327979e-23,"Kupffer cell","Zyx"
"Ifi2041",2.29409026304529e-27,0.885219455649579,0.337,0.137,3.52005209961669e-23,"Kupffer cell","Ifi204"
"Ppt2",2.61734341489753e-27,0.750422006913873,0.235,0.074,4.01605173581877e-23,"Kupffer cell","Ppt2"
"Gm101162",2.72493945322337e-27,1.02774518738491,0.726,0.591,4.18114709702594e-23,"Kupffer cell","Gm10116"
"Stat1",3.67692772233066e-27,0.873753770385021,0.352,0.149,5.64187789714417e-23,"Kupffer cell","Stat1"
"Itgav2",5.55859147790106e-27,0.686381967587283,0.18,0.047,8.52910276369139e-23,"Kupffer cell","Itgav"
"Asah11",6.6817582206445e-27,0.890836267112706,0.381,0.171,1.02524898137569e-22,"Kupffer cell","Asah1"
"Cmtm74",7.8337895712929e-27,0.921482603629034,0.394,0.182,1.20201667181918e-22,"Kupffer cell","Cmtm7"
