,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
Col16a1,6.95E-83,0.656901101,0.162,0.007,1.07E-78,6,Col16a1
Fos2,2.40E-05,0.655770998,0.308,0.202,0.368662803,6,Fos
Vstm4,7.44E-31,0.655648531,0.192,0.035,1.14E-26,6,Vstm4
Aga1,9.50E-25,0.648020212,0.233,0.06,1.46E-20,6,Aga
Ifit11,3.98E-25,0.647984009,0.171,0.034,6.10E-21,6,Ifit1
Tceb2,1.96E-22,0.643954025,0.892,0.665,3.00E-18,6,Tceb2
Spry2,6.71E-22,0.643097263,0.317,0.104,1.03E-17,6,Spry2
Gab1,6.55E-31,0.641016289,0.196,0.036,1.00E-26,6,Gab1
Sh3glb21,1.50E-19,0.636854535,0.308,0.109,2.30E-15,6,Sh3glb2
Pbx11,7.73E-22,0.635455086,0.271,0.083,1.19E-17,6,Pbx1
Calcrl2,1.88E-14,0.635380146,0.558,0.304,2.89E-10,6,Calcrl
Pdlim5,3.04E-14,0.634975363,0.308,0.13,4.67E-10,6,Pdlim5
Cit2,3.52E-37,0.631621205,0.204,0.033,5.40E-33,6,Cit
Tax1bp32,3.23E-24,0.631562656,0.462,0.174,4.95E-20,6,Tax1bp3
Esr1,6.34E-50,0.631536697,0.146,0.012,9.73E-46,6,Esr1
Nenf3,1.52E-17,0.631276222,0.671,0.371,2.33E-13,6,Nenf
Ndufa112,1.32E-17,0.630308877,0.558,0.283,2.03E-13,6,Ndufa11
Hlx2,9.16E-21,0.629361158,0.417,0.163,1.41E-16,6,Hlx
Psmb102,4.21E-15,0.627181186,0.471,0.239,6.46E-11,6,Psmb10
H2-Q42,9.16E-23,0.626079179,0.583,0.253,1.41E-18,6,H2-Q4
Glt8d1,1.91E-31,0.625094194,0.271,0.063,2.93E-27,6,Glt8d1
Pttg1,1.82E-17,0.624762282,0.392,0.166,2.79E-13,6,Pttg1
Polr2l1,2.68E-17,0.622854196,0.621,0.336,4.12E-13,6,Polr2l
Jag11,2.67E-40,0.622462724,0.154,0.018,4.10E-36,6,Jag1
